event_type,ingestion_timestamp,event_timestamp
vp,1598132201422.304,1598132201887.0
vp,1598132201428.7668,1598132200765.0
vp,1598132201429.386,1598132201919.0
vp,1598132201431.928,1598132201922.0
vp,1598132201432.3672,1598132201919.0
vp,1598132201438.557,1598132201918.0
vp,1598132201438.946,1598132201920.0
vp,1598132201442.3152,1598132201670.0
vp,1598132201442.501,1598132201940.0
vp,1598132201448.8499,1598132201901.0
vp,1598132201458.627,1598132201950.0
vp,1598132201458.783,1598132201890.0
vp,1598132201460.813,1598132201922.0
vp,1598132201461.215,1598132201964.0
vp,1598132201461.4912,1598132201927.0
vp,1598132201475.2349,1598132201978.0
vp,1598132201475.3398,1598132201700.0
vp,1598132201486.114,1598132201966.0
vp,1598132201486.217,1598132201897.0
vp,1598132201492.9531,1598132201935.0
vp,1598132201493.259,1598132201922.0
vp,1598132201508.087,1598132201538.0
vp,1598132201513.0032,1598132202014.0
vp,1598132201513.641,1598132201154.0
vp,1598132201523.24,1598132202005.0
vp,1598132201534.0012,1598132202009.0
vp,1598132201540.8682,1598132201855.0
vp,1598132201541.227,1598132201986.0
vp,1598132201545.229,1598132201776.0
vp,1598132201545.43,1598132202031.0
dep,1598132201556.223,1598132201942.0
vp,1598132201566.193,1598132201955.0
vp,1598132201570.483,1598132202042.0
vp,1598132201570.566,1598132202042.0
vp,1598132201580.902,1598132201812.0
vp,1598132201600.838,1598132202012.0
vp,1598132201601.323,1598132201794.0
vp,1598132201605.213,1598132202078.0
vp,1598132201605.4138,1598132202030.0
vp,1598132201611.5361,1598132202094.0
vp,1598132201611.6309,1598132202084.0
vp,1598132201620.368,1598132200893.0
vp,1598132201621.011,1598132202099.0
vp,1598132201627.917,1598132202100.0
ars,1598132201628.208,1598132202113.0
vp,1598132201649.394,1598132202137.0
vp,1598132201649.961,1598132202145.0
vp,1598132201650.275,1598132202063.0
dep,1598132201655.2961,1598132202092.0
vp,1598132201655.463,1598132202154.0
vp,1598132201655.96,1598132202155.0
vp,1598132201669.856,1598132201970.0
vp,1598132201669.932,1598132202135.0
vp,1598132201678.154,1598132202172.0
vp,1598132201678.615,1598132202173.0
vp,1598132201678.69,1598132202186.0
vp,1598132201690.656,1598132202149.0
vp,1598132201690.762,1598132202143.0
